Trial,Event,Value,Timestamp
9,StimOn,1,2024-04-02T15:16:57.6924160+01:00
9,StimOn,0,2024-04-02T15:16:58.6829056+01:00
10,PictureID,4,2024-04-02T15:16:58.6834176+01:00
10,TrialITI,1.8,2024-04-02T15:16:58.6835072+01:00
10,StimOn,1,2024-04-02T15:17:00.5095296+01:00
10,StimOn,0,2024-04-02T15:17:01.4999296+01:00
10,PictureID,6,2024-04-02T15:17:01.5001088+01:00
10,TrialITI,1.9,2024-04-02T15:17:01.5001984+01:00
10,StimOn,1,2024-04-02T15:17:03.4266496+01:00
10,StimOn,0,2024-04-02T15:17:04.4169472+01:00
10,PictureID,3,2024-04-02T15:17:04.4171520+01:00
10,TrialITI,1,2024-04-02T15:17:04.4172416+01:00
10,StimOn,1,2024-04-02T15:17:05.4270592+01:00
10,StimOn,0,2024-04-02T15:17:06.4172032+01:00
10,PictureID,8,2024-04-02T15:17:06.4173952+01:00
10,TrialITI,1.6,2024-04-02T15:17:06.4174720+01:00
10,StimOn,1,2024-04-02T15:17:08.0441344+01:00
10,StimOn,0,2024-04-02T15:17:09.0341888+01:00
10,PictureID,2,2024-04-02T15:17:09.0343808+01:00
10,TrialITI,2,2024-04-02T15:17:09.0344576+01:00
10,StimOn,1,2024-04-02T15:17:11.0615424+01:00
10,StimOn,0,2024-04-02T15:17:12.0512384+01:00
10,PictureID,1,2024-04-02T15:17:12.0515584+01:00
10,TrialITI,1.6,2024-04-02T15:17:12.0516480+01:00
10,StimOn,1,2024-04-02T15:17:13.6787456+01:00
10,StimOn,0,2024-04-02T15:17:14.6682368+01:00
10,PictureID,0,2024-04-02T15:17:14.6684800+01:00
10,TrialITI,2,2024-04-02T15:17:14.6685952+01:00
10,StimOn,1,2024-04-02T15:17:16.6959360+01:00
10,StimOn,0,2024-04-02T15:17:17.6852736+01:00
10,PictureID,5,2024-04-02T15:17:17.6855424+01:00
10,TrialITI,2,2024-04-02T15:17:17.6856704+01:00
10,StimOn,1,2024-04-02T15:17:19.7136128+01:00
10,StimOn,0,2024-04-02T15:17:20.7022976+01:00
10,PictureID,9,2024-04-02T15:17:20.7024768+01:00
10,TrialITI,1,2024-04-02T15:17:20.7025664+01:00
10,StimOn,1,2024-04-02T15:17:21.7140224+01:00
10,StimOn,0,2024-04-02T15:17:22.7025664+01:00
10,PictureID,7,2024-04-02T15:17:22.7027456+01:00
10,TrialITI,1,2024-04-02T15:17:22.7028352+01:00
10,StimOn,1,2024-04-02T15:17:23.7144192+01:00
10,StimOn,0,2024-04-02T15:17:24.7028096+01:00
11,PictureID,5,2024-04-02T15:17:24.7031680+01:00
11,TrialITI,1.4,2024-04-02T15:17:24.7032576+01:00
11,StimOn,1,2024-04-02T15:17:26.1147392+01:00
11,StimOn,0,2024-04-02T15:17:27.1031168+01:00
11,PictureID,1,2024-04-02T15:17:27.1032960+01:00
11,TrialITI,1.5,2024-04-02T15:17:27.1033856+01:00
11,StimOn,1,2024-04-02T15:17:28.6318592+01:00
